time,base_heading,distance_ball_base,distance_ball_hand
0.9490,0.8300,1.5907,0.0000
0.9500,0.8300,1.5902,0.0000
0.9510,0.8300,1.4738,0.0000
0.9520,0.8300,1.4726,0.0000
0.9530,0.8300,1.4709,0.0000
0.9540,0.8300,1.4689,0.0000
0.9550,0.8300,1.4666,0.0000
0.9560,0.8300,1.4625,0.0000
0.9570,0.8300,1.4597,0.0000
0.9580,0.8300,1.4567,0.0000
0.9590,0.8300,1.4535,0.0000
0.9600,0.8300,1.4502,0.0000
0.9610,0.8300,1.4468,0.0000
0.9620,0.8300,1.4434,0.0000
0.9630,0.8300,1.4398,0.0000
0.9640,0.8300,1.4362,0.0000
0.9650,0.8300,1.4326,0.0000
0.9660,0.8300,1.4289,0.0000
0.9670,0.8300,1.4252,0.0000
0.9680,0.8300,1.4215,0.0000
0.9690,0.8300,1.4178,0.0000
0.9700,0.8300,1.4140,0.0000
0.9710,0.8300,1.3184,0.0000
0.9720,0.8300,1.3144,0.0000
0.9730,0.8300,1.3100,0.0000
0.9740,0.8300,1.3054,0.0000
0.9750,0.8300,1.3005,0.0000
0.9760,0.8300,1.3828,0.0000
0.9770,0.8300,1.3777,0.0000
0.9780,0.8300,1.3728,0.0000
0.9790,0.8300,1.3681,0.0000
0.9800,0.8300,1.3636,0.0000
0.9810,0.8300,1.3593,0.0000
0.9820,0.8300,1.3551,0.0000
0.9830,0.8300,1.3510,0.0000
0.9840,0.8300,1.3471,0.0000
0.9850,0.8300,1.3432,0.0000
0.9860,0.8300,1.3394,0.0000
0.9870,0.8300,1.3357,0.0000
0.9880,0.8300,1.3320,0.0000
0.9890,0.8300,1.3284,0.0000
0.9900,0.8300,1.3249,0.0000
0.9910,0.8300,1.2405,0.0000
0.9920,0.8300,1.2368,0.0000
0.9930,0.8300,1.2328,0.0000
0.9940,0.8300,1.2285,0.0000
0.9950,0.8300,1.2241,0.0000
0.9960,0.8300,1.2967,0.0000
0.9970,0.8300,1.2921,0.0000
0.9980,0.8300,1.2877,0.0000
0.9990,0.8300,1.2835,0.0000
1.0000,0.8300,1.2796,0.0000
1.0010,0.8300,1.3612,0.0000
1.0020,0.8300,1.3578,0.0000
1.0030,0.8300,1.3549,0.0000
1.0040,0.8300,1.3524,0.0000
1.0050,0.8300,1.3503,0.0000
1.0060,0.8300,1.3485,0.0000
1.0070,0.8300,1.3469,0.0000
1.0080,0.8300,1.3456,0.0000
1.0090,0.8300,1.3445,0.0000
1.0100,0.8300,1.3435,0.0000
1.0110,0.8300,1.2595,0.0000
1.0120,0.8300,1.2582,0.0000
1.0130,0.8300,1.2566,0.0000
1.0140,0.8300,1.2548,0.0000
1.0150,0.8300,1.2528,0.0000
1.0160,0.8300,1.3320,0.0000
1.0170,0.8300,1.3302,0.0000
1.0180,0.8300,1.3286,0.0000
1.0190,0.8300,1.3272,0.0000
1.0200,0.8300,1.3261,0.0000
1.0210,0.8300,1.3251,0.0000
1.0220,0.8300,1.3242,0.0000
1.0230,0.8300,1.3234,0.0000
1.0240,0.8300,1.3227,0.0000
1.0250,0.8300,1.3221,0.0000
1.0260,0.8300,1.2410,0.0000
1.0270,0.8300,1.2399,0.0000
1.0280,0.8300,1.2386,0.0000
1.0290,0.8300,1.2370,0.0000
1.0300,0.8300,1.2351,0.0000
1.0310,0.8300,1.1630,0.0000
1.0320,0.8300,1.1605,0.0000
1.0330,0.8300,1.1576,0.0000
1.0340,0.8300,1.1544,0.0000
1.0350,0.8300,1.1510,0.0000
1.0360,0.8300,1.1473,0.0000
1.0370,0.8300,1.1434,0.0000
1.0380,0.8300,1.1394,0.0000
1.0390,0.8300,1.1353,0.0000
1.0400,0.8300,1.1311,0.0000
1.0410,0.8300,1.1926,0.0000
1.0420,0.8300,1.1883,0.0000
1.0430,0.8300,1.1844,0.0000
1.0440,0.8300,1.1806,0.0000
1.0450,0.8300,1.1771,0.0000
1.0460,0.8300,1.1097,0.0000
1.0470,0.8300,1.1063,0.0000
1.0480,0.8300,1.1027,0.0000
1.0490,0.8300,1.0990,0.0000
1.0500,0.8300,1.0952,0.0000
1.0510,0.8300,1.0913,0.0000
1.0520,0.8300,1.0874,0.0000
1.0530,0.8300,1.0834,0.0000
1.0540,0.8300,1.0794,0.0000
1.0550,0.8300,1.0753,0.0000
1.0560,0.8300,1.0713,0.0000
1.0570,0.8300,1.0672,0.0000
