time,base_err
1.207000,-0.120131
1.208000,-0.119681
1.209000,-0.119229
1.210000,-0.118777
1.211000,-0.118325
1.212000,-0.117909
1.213000,-0.117511
1.214000,-0.117128
1.215000,-0.116759
1.216000,-0.116400
1.217000,-0.116014
1.218000,-0.115616
1.219000,-0.115210
1.220000,-0.114795
1.221000,-0.114375
1.222000,-0.113948
1.223000,-0.113517
1.224000,-0.113082
1.225000,-0.112643
1.226000,-0.112202
1.227000,-0.111721
1.228000,-0.111220
1.229000,-0.110701
1.230000,-0.110168
1.231000,-0.109622
1.232000,-0.109140
1.233000,-0.108686
1.234000,-0.108256
1.235000,-0.107846
1.236000,-0.107453
1.237000,-0.107075
1.238000,-0.106708
1.239000,-0.106352
1.240000,-0.106004
1.241000,-0.105663
1.242000,-0.105329
1.243000,-0.104999
1.244000,-0.104674
1.245000,-0.104352
1.246000,-0.104034
1.247000,-0.103717
1.248000,-0.103403
1.249000,-0.103091
1.250000,-0.102781
1.251000,-0.102471
1.252000,-0.102163
1.253000,-0.101855
1.254000,-0.101549
1.255000,-0.101242
1.256000,-0.100937
1.257000,-0.100631
1.258000,-0.100326
1.259000,-0.100022
1.260000,-0.099717
1.261000,-0.099413
1.262000,-0.099072
1.263000,-0.098712
1.264000,-0.098337
1.265000,-0.097949
1.266000,-0.097550
1.267000,-0.097178
1.268000,-0.096816
1.269000,-0.096464
1.270000,-0.096120
1.271000,-0.095781
1.272000,-0.095412
1.273000,-0.095028
1.274000,-0.094632
1.275000,-0.094227
1.276000,-0.093813
1.277000,-0.093428
1.278000,-0.093056
1.279000,-0.092695
1.280000,-0.092343
1.281000,-0.091998
1.282000,-0.091660
1.283000,-0.091327
1.284000,-0.090999
1.285000,-0.090674
1.286000,-0.090352
1.287000,-0.090033
1.288000,-0.089717
1.289000,-0.089402
1.290000,-0.089089
1.291000,-0.088777
1.292000,-0.088466
1.293000,-0.088156
1.294000,-0.087847
1.295000,-0.087539
1.296000,-0.087231
1.297000,-0.086924
1.298000,-0.086617
1.299000,-0.086310
1.300000,-0.086004
1.301000,-0.085698
1.302000,-0.085392
1.303000,-0.085086
1.304000,-0.084780
1.305000,-0.084474
1.306000,-0.084169
1.307000,-0.083863
1.308000,-0.083557
1.309000,-0.083252
1.310000,-0.082946
1.311000,-0.082641
1.312000,-0.082335
